id,state,year,quarter,district,transaction_count,transaction_amount
155,andhra-pradesh,2019,2,"prakasam district",2670529,6262396448.455349
156,andhra-pradesh,2019,2,"anantapur district",3578836,7830782361.377665
157,andhra-pradesh,2019,2,"ysr district",2606284,6376856828.130632
158,andhra-pradesh,2019,2,"west godavari district",2402074,5676818258.955046
159,andhra-pradesh,2019,2,"kurnool district",3895824,7358285187.018034
160,andhra-pradesh,2019,2,"chittoor district",5983308,10982727976.224325
161,andhra-pradesh,2019,2,"guntur district",5005275,10405246943.481495
162,andhra-pradesh,2019,2,"krishna district",6428472,13437029115.620754
163,andhra-pradesh,2019,3,"east godavari district",6537303,11387726470.57774
164,andhra-pradesh,2019,3,"srikakulam district",2556296,4610131289.524039
165,andhra-pradesh,2019,3,"spsr nellore district",4150195,8256600118.735449
166,andhra-pradesh,2019,3,"vizianagaram district",2861581,4922069039.19216
167,andhra-pradesh,2019,3,"visakhapatnam district",16694947,26944837120.046288
168,andhra-pradesh,2019,3,"prakasam district",3430750,7354502261.150911
169,andhra-pradesh,2019,3,"anantapur district",4889720,9554081289.488277
170,andhra-pradesh,2019,3,"ysr district",3296586,7447544274.2117815
171,andhra-pradesh,2019,3,"west godavari district",3179541,6627629029.01413
172,andhra-pradesh,2019,3,"kurnool district",5139134,9025632779.412457
173,andhra-pradesh,2019,3,"chittoor district",8201783,13837455758.755266
174,andhra-pradesh,2019,3,"guntur district",6942304,13075661264.188034
175,andhra-pradesh,2019,3,"krishna district",8408474,16404073560.500784
176,andhra-pradesh,2019,4,"east godavari district",9285739,16816774065.301317
177,andhra-pradesh,2019,4,"srikakulam district",3712555,6832369301.879345
178,andhra-pradesh,2019,4,"spsr nellore district",5877804,11786014089.194027
179,andhra-pradesh,2019,4,"vizianagaram district",3998234,7175851807.068796
180,andhra-pradesh,2019,4,"visakhapatnam district",23594874,39133296330.044624
181,andhra-pradesh,2019,4,"prakasam district",4865473,10604077824.801035
182,andhra-pradesh,2019,4,"anantapur district",6764112,13887248889.064066
183,andhra-pradesh,2019,4,"ysr district",4793157,10865073855.730783
184,andhra-pradesh,2019,4,"west godavari district",4596479,9710614747.20177
185,andhra-pradesh,2019,4,"kurnool district",7001958,13233105728.54823
186,andhra-pradesh,2019,4,"chittoor district",11246986,19298476027.875484
187,andhra-pradesh,2019,4,"guntur district",9761330,18565626418.035915
188,andhra-pradesh,2019,4,"krishna district",11719402,23039786404.04664
189,andhra-pradesh,2020,1,"east godavari district",11346242,21854701379.428688
190,andhra-pradesh,2020,1,"srikakulam district",4835092,9777575594.177538
191,andhra-pradesh,2020,1,"spsr nellore district",7430247,15387829694.446861
192,andhra-pradesh,2020,1,"vizianagaram district",5042066,9879174240.920494
193,andhra-pradesh,2020,1,"visakhapatnam district",27115031,48809747614.678894
194,andhra-pradesh,2020,1,"prakasam district",6318396,14169104764.526735
195,andhra-pradesh,2020,1,"anantapur district",8466129,17864325752.82528
196,andhra-pradesh,2020,1,"ysr district",6031255,14059924636.819912
197,andhra-pradesh,2020,1,"west godavari district",5919670,12995834340.716236
198,andhra-pradesh,2020,1,"kurnool district",8246869,17022710311.813046
199,andhra-pradesh,2020,1,"chittoor district",13257740,23441848567.344193
200,andhra-pradesh,2020,1,"guntur district",11493331,22992734620.64621
201,andhra-pradesh,2020,1,"krishna district",12175289,24481702770.71471
202,andhra-pradesh,2020,2,"east godavari district",13130334,26319906327.32029
203,andhra-pradesh,2020,2,"srikakulam district",6425515,12153650076.875832
204,andhra-pradesh,2020,2,"spsr nellore district",9454274,20665376460.772232
205,andhra-pradesh,2020,2,"vizianagaram district",6690313,12819344389.545382
206,andhra-pradesh,2020,2,"visakhapatnam district",25300401,48293889917.41437
207,andhra-pradesh,2020,2,"prakasam district",8844580,19846026726.904335
208,andhra-pradesh,2020,2,"anantapur district",10473739,22094006659.412506
209,andhra-pradesh,2020,2,"ysr district",8033609,19597207268.132023
210,andhra-pradesh,2020,2,"west godavari district",7273096,16585866855.159784
211,andhra-pradesh,2020,2,"kurnool district",9821381,22419372061.805172
212,andhra-pradesh,2020,2,"chittoor district",14848197,27361300300.01902
213,andhra-pradesh,2020,2,"guntur district",12308707,27463593607.839108
214,andhra-pradesh,2020,2,"krishna district",12313709,26964149095.366295
215,andhra-pradesh,2020,3,"east godavari district",17972431,39300043804.75851
216,andhra-pradesh,2020,3,"srikakulam district",8286289,18029574581.337425
217,andhra-pradesh,2020,3,"spsr nellore district",16468209,39128324534.03022
218,andhra-pradesh,2020,3,"vizianagaram district",8236703,17567816576.501263
219,andhra-pradesh,2020,3,"visakhapatnam district",34421299,67628440368.111465
220,andhra-pradesh,2020,3,"prakasam district",12266310,31221704852.44969
221,andhra-pradesh,2020,3,"anantapur district",14447683,34102037972.65785
222,andhra-pradesh,2020,3,"ysr district",11934653,32037007334.12973
223,andhra-pradesh,2020,3,"west godavari district",10412351,25408608725.754295
224,andhra-pradesh,2020,3,"kurnool district",13243292,32529351107.17173
225,andhra-pradesh,2020,3,"chittoor district",20501863,42811566246.16463
226,andhra-pradesh,2020,3,"guntur district",17601395,42531195809.75448
227,andhra-pradesh,2020,3,"krishna district",19110457,44788458672.084435
228,andhra-pradesh,2020,4,"east godavari district",25989490,58732615663.118416
229,andhra-pradesh,2020,4,"srikakulam district",11092184,25222520275.27882
230,andhra-pradesh,2020,4,"spsr nellore district",20934374,49115443663.37911
231,andhra-pradesh,2020,4,"vizianagaram district",10580824,24094847668.445065
232,andhra-pradesh,2020,4,"visakhapatnam district",46551467,91879823025.40399
233,andhra-pradesh,2020,4,"prakasam district",16176867,41852443493.515396
234,andhra-pradesh,2020,4,"anantapur district",20996384,49732610814.26222
235,andhra-pradesh,2020,4,"ysr district",15676878,42572974713.44026
236,andhra-pradesh,2020,4,"west godavari district",15674762,40310975762.603455
237,andhra-pradesh,2020,4,"kurnool district",18737323,44718203115.22612
238,andhra-pradesh,2020,4,"chittoor district",29590411,61505711149.79541
239,andhra-pradesh,2020,4,"guntur district",26136538,60641872021.25432
240,andhra-pradesh,2020,4,"krishna district",27981050,64461504667.60723
241,andhra-pradesh,2021,1,"east godavari district",26190701,60027984987.96951
242,andhra-pradesh,2021,1,"srikakulam district",11160473,26486623313.092724
243,andhra-pradesh,2021,1,"spsr nellore district",22541428,52210333201.53073
244,andhra-pradesh,2021,1,"vizianagaram district",10514582,24153782497.243248
245,andhra-pradesh,2021,1,"visakhapatnam district",48248923,95308386037.84721
246,andhra-pradesh,2021,1,"prakasam district",15175395,41396223622.174774
247,andhra-pradesh,2021,1,"anantapur district",20102957,48353870395.01808
248,andhra-pradesh,2021,1,"ysr district",15374473,42570919448.50447
249,andhra-pradesh,2021,1,"west godavari district",16015685,42124030669.36126
250,andhra-pradesh,2021,1,"kurnool district",17918524,44941629659.56964
251,andhra-pradesh,2021,1,"chittoor district",29342609,60947491846.66089
252,andhra-pradesh,2021,1,"guntur district",27445045,64207987853.108406
253,andhra-pradesh,2021,1,"krishna district",29717175,69715406644.53485
254,andhra-pradesh,2021,2,"east godavari district",31717908,74604325863.66068
255,andhra-pradesh,2021,2,"srikakulam district",13546232,32298129544.540867
256,andhra-pradesh,2021,2,"spsr nellore district",30290406,72283071757.09679
257,andhra-pradesh,2021,2,"vizianagaram district",12689494,29140685236.830723
258,andhra-pradesh,2021,2,"visakhapatnam district",54390299,114439012713.35336
259,andhra-pradesh,2021,2,"prakasam district",19944047,54535328043.04135
260,andhra-pradesh,2021,2,"anantapur district",25123346,60987487571.279915
261,andhra-pradesh,2021,2,"ysr district",18457361,52523527031.02132
262,andhra-pradesh,2021,2,"west godavari district",20950964,57233116236.18796
263,andhra-pradesh,2021,2,"kurnool district",21972396,56659287474.995804
264,andhra-pradesh,2021,2,"chittoor district",34344902,73654690122.43158
265,andhra-pradesh,2021,2,"guntur district",32968819,82356914463.83287
266,andhra-pradesh,2021,2,"krishna district",36370960,90021923049.96454
267,andhra-pradesh,2021,3,"east godavari district",39572714,89380370072.7078
268,andhra-pradesh,2021,3,"srikakulam district",15639768,34836400769.876816
269,andhra-pradesh,2021,3,"spsr nellore district",34411958,77839676988.30869
270,andhra-pradesh,2021,3,"vizianagaram district",14510005,31383541628.212524
271,andhra-pradesh,2021,3,"visakhapatnam district",69220981,136945652159.26515
272,andhra-pradesh,2021,3,"prakasam district",24116580,63367713446.928055
273,andhra-pradesh,2021,3,"anantapur district",30366444,70291248155.64975
274,andhra-pradesh,2021,3,"ysr district",22439316,60683557724.652336
275,andhra-pradesh,2021,3,"west godavari district",26245039,66647238455.1675
276,andhra-pradesh,2021,3,"kurnool district",26377809,62527453761.59807
277,andhra-pradesh,2021,3,"chittoor district",42628568,89371931753.04831
278,andhra-pradesh,2021,3,"guntur district",41675093,96525353090.12305
279,andhra-pradesh,2021,3,"krishna district",44828275,104417897558.58972
280,andhra-pradesh,2021,4,"east godavari district",48992531,106725597026.00356
