id,state,year,quarter,transaction_type,transaction_count,transaction_amount
94,andaman-&-nicobar-islands,2022,3,"Financial Services",1814,2166304.9779766416
95,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
96,andaman-&-nicobar-islands,2022,4,"Merchant payments",956536,906365300.6585041
97,andaman-&-nicobar-islands,2022,4,"Peer-to-peer payments",768758,2961630584.8271313
98,andaman-&-nicobar-islands,2022,4,"Recharge & bill payments",256050,110037119.66941178
99,andaman-&-nicobar-islands,2022,4,"Financial Services",2499,3533987.2301130476
100,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
101,andaman-&-nicobar-islands,2023,1,"Merchant payments",1122063,1008821751
102,andaman-&-nicobar-islands,2023,1,"Peer-to-peer payments",862347,3299762230
103,andaman-&-nicobar-islands,2023,1,"Recharge & bill payments",286024,146338470
104,andaman-&-nicobar-islands,2023,1,"Financial Services",2515,3556954
105,andaman-&-nicobar-islands,2023,1,Others,3443,3049182
106,andaman-&-nicobar-islands,2023,2,"Merchant payments",1410653,1159905474
107,andaman-&-nicobar-islands,2023,2,"Peer-to-peer payments",970525,3664415887
108,andaman-&-nicobar-islands,2023,2,"Recharge & bill payments",320922,158455723
109,andaman-&-nicobar-islands,2023,2,"Financial Services",2158,4161814
110,andaman-&-nicobar-islands,2023,2,Others,3517,3405338
111,andaman-&-nicobar-islands,2023,3,"Merchant payments",1657848,1289780198
112,andaman-&-nicobar-islands,2023,3,"Peer-to-peer payments",1111211,3757627272
113,andaman-&-nicobar-islands,2023,3,"Recharge & bill payments",323935,157992380
114,andaman-&-nicobar-islands,2023,3,"Financial Services",2199,3850023
115,andaman-&-nicobar-islands,2023,3,Others,3183,2346918
116,andaman-&-nicobar-islands,2023,4,"Merchant payments",2039888,1653303276
117,andaman-&-nicobar-islands,2023,4,"Peer-to-peer payments",1321796,4420459049
118,andaman-&-nicobar-islands,2023,4,"Recharge & bill payments",327460,185028400
119,andaman-&-nicobar-islands,2023,4,"Financial Services",3276,7836466
120,andaman-&-nicobar-islands,2023,4,Others,3363,2925308
121,andaman-&-nicobar-islands,2024,1,"Merchant payments",2401038,1887811915
122,andaman-&-nicobar-islands,2024,1,"Peer-to-peer payments",1436380,4771886847
123,andaman-&-nicobar-islands,2024,1,"Recharge & bill payments",341224,188939343
124,andaman-&-nicobar-islands,2024,1,"Financial Services",3761,7962745
125,andaman-&-nicobar-islands,2024,1,Others,2517,2550985
126,andaman-&-nicobar-islands,2024,2,"Merchant payments",2769052,2053269052
127,andaman-&-nicobar-islands,2024,2,"Peer-to-peer payments",1513157,5033712226
128,andaman-&-nicobar-islands,2024,2,"Recharge & bill payments",365214,196987648
129,andaman-&-nicobar-islands,2024,2,"Financial Services",3371,9550750
130,andaman-&-nicobar-islands,2024,2,Others,2430,2260654
131,andaman-&-nicobar-islands,2024,3,"Merchant payments",3158032,2132361939
132,andaman-&-nicobar-islands,2024,3,"Peer-to-peer payments",1733054,5305660809
133,andaman-&-nicobar-islands,2024,3,"Recharge & bill payments",382130,213105223
134,andaman-&-nicobar-islands,2024,3,"Financial Services",4169,10756400
135,andaman-&-nicobar-islands,2024,3,Others,1865,1960638
136,andaman-&-nicobar-islands,2024,4,"Merchant payments",3666060,2546601178
137,andaman-&-nicobar-islands,2024,4,"Peer-to-peer payments",1993301,6142805445
138,andaman-&-nicobar-islands,2024,4,"Recharge & bill payments",389318,214912264
139,andaman-&-nicobar-islands,2024,4,"Financial Services",12889,12789955
140,andaman-&-nicobar-islands,2024,4,Others,2332,3835931
141,andhra-pradesh,2018,1,"Recharge & bill payments",5027448,892293975.6698562
142,andhra-pradesh,2018,1,"Peer-to-peer payments",3049646,10524250283.178782
143,andhra-pradesh,2018,1,"Merchant payments",362672,247297640.24000686
144,andhra-pradesh,2018,1,"Financial Services",204305,44808449.7639544
145,andhra-pradesh,2018,1,Others,395514,287626042.970705
146,andhra-pradesh,2018,2,"Recharge & bill payments",6456387,1598591488.4880352
147,andhra-pradesh,2018,2,"Peer-to-peer payments",4745000,20451493098.8953
148,andhra-pradesh,2018,2,"Merchant payments",604847,436785223.86032957
149,andhra-pradesh,2018,2,"Financial Services",225621,68952114.81374599
150,andhra-pradesh,2018,2,Others,322063,328092346.575651
151,andhra-pradesh,2018,3,"Peer-to-peer payments",16129591,32738630444.668724
152,andhra-pradesh,2018,3,"Recharge & bill payments",7542005,1949098146.8941927
153,andhra-pradesh,2018,3,"Merchant payments",1225416,685277254.5076212
154,andhra-pradesh,2018,3,"Financial Services",380324,60790077.57437308
155,andhra-pradesh,2018,3,Others,348725,284248675.5700202
156,andhra-pradesh,2018,4,"Peer-to-peer payments",17580086,47011639726.13608
157,andhra-pradesh,2018,4,"Recharge & bill payments",9767083,2418164314.470957
158,andhra-pradesh,2018,4,"Merchant payments",2622131,1671585888.568256
159,andhra-pradesh,2018,4,"Financial Services",400837,57178116.40322068
160,andhra-pradesh,2018,4,Others,389411,315211361.26249415
161,andhra-pradesh,2019,1,"Peer-to-peer payments",37420988,77524329742.2595
162,andhra-pradesh,2019,1,"Recharge & bill payments",14022264,3480641602.3771377
163,andhra-pradesh,2019,1,"Merchant payments",5043682,2423536770.3706346
164,andhra-pradesh,2019,1,"Financial Services",416325,47150177.52982048
165,andhra-pradesh,2019,1,Others,361263,284937624.5393019
166,andhra-pradesh,2019,2,"Peer-to-peer payments",32494402,103924649232.47021
167,andhra-pradesh,2019,2,"Recharge & bill payments",14093964,4708345387.9101095
168,andhra-pradesh,2019,2,"Merchant payments",9226537,4613405202.681959
169,andhra-pradesh,2019,2,"Financial Services",145310,26626696.771042537
170,andhra-pradesh,2019,2,Others,448802,361492238.3966455
171,andhra-pradesh,2019,3,"Peer-to-peer payments",39023491,124338645329.51532
172,andhra-pradesh,2019,3,"Recharge & bill payments",20147629,6893984676.598906
173,andhra-pradesh,2019,3,"Merchant payments",16581787,7887394038.066369
174,andhra-pradesh,2019,3,"Financial Services",122270,29778183.027080443
175,andhra-pradesh,2019,3,Others,413437,298142027.58625776
176,andhra-pradesh,2019,4,"Peer-to-peer payments",57181511,178893550050.68753
177,andhra-pradesh,2019,4,"Merchant payments",25122370,13476303367.50486
178,andhra-pradesh,2019,4,"Recharge & bill payments",24469888,8335168605.691999
179,andhra-pradesh,2019,4,"Financial Services",105662,26796571.745749153
180,andhra-pradesh,2019,4,Others,338672,216496893.16102877
181,andhra-pradesh,2020,1,"Peer-to-peer payments",65452143,223088554055.04755
182,andhra-pradesh,2020,1,"Merchant payments",31408022,18603161784.496994
183,andhra-pradesh,2020,1,"Recharge & bill payments",30449644,10813530777.973532
184,andhra-pradesh,2020,1,"Financial Services",75238,43739133.169823855
185,andhra-pradesh,2020,1,Others,292310,188228538.37489766
186,andhra-pradesh,2020,2,"Peer-to-peer payments",73609921,262731724130.7907
187,andhra-pradesh,2020,2,"Recharge & bill payments",41013987,16991006436.573467
188,andhra-pradesh,2020,2,"Merchant payments",29976765,22625596525.44269
189,andhra-pradesh,2020,2,"Financial Services",140941,145274999.15679634
190,andhra-pradesh,2020,2,Others,176241,90087654.60009979
191,andhra-pradesh,2020,3,"Peer-to-peer payments",106791894,406461788252.32056
192,andhra-pradesh,2020,3,"Merchant payments",54055557,40739580213.86052
193,andhra-pradesh,2020,3,"Recharge & bill payments",43500067,19475104674.827175
194,andhra-pradesh,2020,3,"Financial Services",243088,256074924.7187529
195,andhra-pradesh,2020,3,Others,312329,151582519.18136686
196,andhra-pradesh,2020,4,"Peer-to-peer payments",152003791,566639138543.7708
197,andhra-pradesh,2020,4,"Merchant payments",86581460,66654048149.95168
198,andhra-pradesh,2020,4,"Recharge & bill payments",46810304,20936337211.557747
199,andhra-pradesh,2020,4,"Financial Services",265470,305168772.45601684
200,andhra-pradesh,2020,4,Others,457527,306853355.59473807
201,andhra-pradesh,2021,1,"Peer-to-peer payments",149313738,580542193013.0018
202,andhra-pradesh,2021,1,"Merchant payments",97920281,70813192713.43477
203,andhra-pradesh,2021,1,"Recharge & bill payments",41940689,20546424964.14482
204,andhra-pradesh,2021,1,"Financial Services",225355,270313028.48452014
205,andhra-pradesh,2021,1,Others,347907,272546457.5502677
